2021-08-15 00:00:46.570 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:47.813 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:48.277 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:48.396 +01:00 [DBG] [  119ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:48.435 +01:00 [DBG] [  157ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:48.535 +01:00 [DBG] [  258ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:48.555 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:49.811 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:50.372 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:50.386 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:50.528 +01:00 [DBG] [  156ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:50.625 +01:00 [DBG] [  252ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:50.646 +01:00 [DBG] [  274ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:51.815 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:52.424 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:52.437 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:52.471 +01:00 [DBG] [   47ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:52.566 +01:00 [DBG] [  142ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:52.692 +01:00 [DBG] [  268ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:53.810 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:54.288 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:54.302 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:54.454 +01:00 [DBG] [  165ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:54.553 +01:00 [DBG] [  264ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:54.562 +01:00 [DBG] [  273ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:55.814 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:56.319 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:56.339 +01:00 [DBG] [   20ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:56.489 +01:00 [DBG] [  170ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:56.599 +01:00 [DBG] [  279ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:56.602 +01:00 [DBG] [  282ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:57.814 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:58.299 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:58.317 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:58.515 +01:00 [DBG] [  216ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:58.567 +01:00 [DBG] [  268ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:58.616 +01:00 [DBG] [  316ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:59.825 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:00.291 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:00.306 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:00.452 +01:00 [DBG] [  161ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:00.566 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:00.567 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:00.826 +01:00 [DBG] [ 1085ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-15 00:01:01.104 +01:00 [DBG] [ 1363ms] SoftwarePerformanceService.GetProcesses
2021-08-15 00:01:01.823 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:02.289 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:02.303 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:02.449 +01:00 [DBG] [  159ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:02.551 +01:00 [DBG] [  261ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:02.567 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:03.817 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:04.272 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:04.285 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:04.433 +01:00 [DBG] [  160ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:04.532 +01:00 [DBG] [  259ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:04.550 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:05.813 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:06.289 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:06.404 +01:00 [DBG] [  115ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:06.441 +01:00 [DBG] [  151ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:06.534 +01:00 [DBG] [  244ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:06.564 +01:00 [DBG] [  274ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:07.813 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:08.285 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:08.299 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:08.443 +01:00 [DBG] [  157ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:08.540 +01:00 [DBG] [  254ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:08.564 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:09.817 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:10.271 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:10.285 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:10.438 +01:00 [DBG] [  166ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:10.548 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:10.666 +01:00 [DBG] [  394ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:11.820 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:12.286 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:12.417 +01:00 [DBG] [  131ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:12.472 +01:00 [DBG] [  186ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:12.564 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:12.610 +01:00 [DBG] [  323ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:13.820 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:14.284 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:14.402 +01:00 [DBG] [  117ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:14.441 +01:00 [DBG] [  156ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:14.531 +01:00 [DBG] [  246ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:14.561 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:15.818 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:16.283 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:16.297 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:16.423 +01:00 [DBG] [  140ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:16.519 +01:00 [DBG] [  235ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:16.561 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:17.813 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:18.282 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:18.415 +01:00 [DBG] [  133ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:18.453 +01:00 [DBG] [  171ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:18.541 +01:00 [DBG] [  259ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:18.560 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:19.814 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:20.284 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:20.299 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:20.443 +01:00 [DBG] [  158ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:20.448 +01:00 [DBG] [  713ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-15 00:01:20.547 +01:00 [DBG] [  262ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:20.560 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:01:20.713 +01:00 [DBG] [  979ms] SoftwarePerformanceService.GetProcesses
2021-08-15 00:01:21.821 +01:00 [DBG] [    3ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:01:22.282 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:01:22.296 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:01:22.427 +01:00 [DBG] [  145ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:01:22.543 +01:00 [DBG] [  260ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:01:22.563 +01:00 [DBG] [  281ms] HardwarePerformanceService.UpdateCpuUsage
