2021-08-14 18:49:51.580 +01:00 [DBG] [  100ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:51.768 +01:00 [DBG] [  287ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:51.801 +01:00 [DBG] [  320ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:53.451 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:53.475 +01:00 [DBG] [   23ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:53.537 +01:00 [DBG] [   86ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:53.740 +01:00 [DBG] [  289ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:53.837 +01:00 [DBG] [  385ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:55.097 +01:00 [DBG] [  682ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:49:55.459 +01:00 [DBG] [ 1044ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:49:55.460 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:55.479 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:55.542 +01:00 [DBG] [   82ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:55.736 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:55.919 +01:00 [DBG] [  458ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:57.551 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:57.567 +01:00 [DBG] [   15ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:57.746 +01:00 [DBG] [  195ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:57.830 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:57.872 +01:00 [DBG] [  320ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:49:59.494 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:49:59.513 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:49:59.708 +01:00 [DBG] [  214ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:49:59.920 +01:00 [DBG] [  425ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:49:59.991 +01:00 [DBG] [  496ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:01.621 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:01.657 +01:00 [DBG] [   35ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:01.740 +01:00 [DBG] [  119ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:02.111 +01:00 [DBG] [  489ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:02.483 +01:00 [DBG] [  861ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:03.491 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:03.509 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:03.572 +01:00 [DBG] [   80ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:03.765 +01:00 [DBG] [  274ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:03.788 +01:00 [DBG] [  297ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:05.540 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:05.557 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:05.745 +01:00 [DBG] [  205ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:05.812 +01:00 [DBG] [  271ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:05.872 +01:00 [DBG] [  331ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:07.550 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:07.574 +01:00 [DBG] [   24ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:07.745 +01:00 [DBG] [  194ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:07.835 +01:00 [DBG] [  285ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:07.901 +01:00 [DBG] [  351ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:10.169 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:10.190 +01:00 [DBG] [   20ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:10.265 +01:00 [DBG] [   95ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:10.407 +01:00 [DBG] [  238ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:10.447 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:11.496 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:11.515 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:11.585 +01:00 [DBG] [   88ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:11.766 +01:00 [DBG] [  270ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:11.837 +01:00 [DBG] [  341ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:13.486 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:13.504 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:13.582 +01:00 [DBG] [   96ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:13.765 +01:00 [DBG] [  280ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:13.842 +01:00 [DBG] [  356ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:15.285 +01:00 [DBG] [  874ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:50:15.497 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:15.517 +01:00 [DBG] [   20ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:15.585 +01:00 [DBG] [   88ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:15.783 +01:00 [DBG] [  287ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:15.848 +01:00 [DBG] [  351ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:15.879 +01:00 [DBG] [ 1468ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:50:18.352 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:18.371 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
